Name,Observed Wavelength of H-alpha,RA J2000.0,Dec J2000.0
NGC4710,6579.611708503967,12 49 38.8,+15 09 54
UGC07979,6572.7812349565675,12 49 39.5,+12 37 31
PGC086434,6596.462999560552,12 49 40.6,+25 46 21
SDSSJ124942.06+052922.2,6569.04399804278,12 49 42.1,+05 29 22
PGC043392,6584.703499385142,12 49 46.2,+11 13 32
UGC07983,6568.363699183451,12 49 47.0,+03 50 33
UGC07982,6569.111341441682,12 49 50.2,+02 51 07
PGC1229213,6535.272377026679,12 49 56.4,+02 30 36
NGC4713,6574.462958987787,12 49 57.8,+05 18 41
PGC1289726,6580.067669300699,12 49 59.2,+05 49 16
AGC227897,6576.478497194628,12 50 04.2,+06 50 51
PGC135809,6556.671851800311,12 50 04.8,-00 13 57
PGC043421,6547.252027652828,12 50 07.3,+02 14 52
PGC043436,6560.176396620713,12 50 14.5,+10 32 24
AGC227972,6562.777544998965,12 50 24.0,+04 54 22
NGC4725,6584.5978055643955,12 50 26.6,+25 30 04
UGC07990,6589.606109851053,12 50 27.2,+28 21 10
PGC043457,6588.946404306668,12 50 31.3,+17 28 17
PGC3295140,6570.076297649234,12 50 34.7,+00 26 02
EVCC1194,6579.428006179372,12 50 37.8,+09 52 44
UGC07991,6574.26914280149,12 50 39.0,+01 27 52
AGC227973,6562.227825323023,12 50 39.9,+05 20 52
SDSSJ125046.77+045323.7,6586.376787271537,12 50 46.8,+04 53 24
PGC1359187,6586.894214705605,12 50 59.5,+09 04 38
PGC1207820,6569.158913552796,12 51 00.2,+01 50 45
NGC4733,6591.529443052106,12 51 06.8,+10 54 44
SDSSJ125106.78+120335.4,6587.9796497069165,12 51 06.8,+12 03 36
UGC08001,6581.320907542964,12 51 24.3,+10 34 47
SDSSJ125133.00+194322.9,6608.613404700107,12 51 33.0,+19 43 23
PGC043580,6570.434688607396,12 51 41.5,+13 05 42
KK167,6596.48986842611,12 51 44.4,+26 06 43
NGC4747,6570.80792882512,12 51 45.7,+25 46 33
IC3840,6591.51947378206,12 51 46.0,+21 44 03
NGC4746,6580.2761649847625,12 51 55.2,+12 04 59
PGC1355373,6579.924552843641,12 51 55.7,+08 52 42
PGC2806992,6596.189472173003,12 52 04.0,+12 54 26
SDSSJ125208.90+030714.6,6557.6282298862625,12 52 08.9,+03 07 15
AGC226122,6558.5749116098705,12 52 15.4,+04 27 27
NGC4754,6573.876247903292,12 52 17.5,+11 18 50
UGC08011,6582.850211881603,12 52 21.1,+21 37 47
NGC4753,6584.011210921126,12 52 22.0,-01 11 58
PGC1150193,6577.130107274316,12 52 34.1,-00 10 04
PGC043698,6579.083277895432,12 52 34.2,+12 15 27
NGC4758,6599.220497633774,12 52 44.2,+15 50 52
PGC135811,6558.476774735623,12 52 49.4,+01 44 04
PGC1133831,6577.070262477859,12 52 53.2,-00 49 22
NGC4762,6580.053815803077,12 52 56.0,+11 13 51
PGC043739,6585.083286850236,12 52 59.0,+14 24 01
AGC229124,6600.983763720973,12 52 59.1,+22 24 56
PGC043746,6560.2678589854,12 53 03.7,+07 41 00
AGC221089,6581.650120415471,12 53 10.1,+25 16 42
KK169,6595.267004186724,12 53 11.6,+12 38 05
NGC4765,6576.640693654707,12 53 14.5,+04 27 48
NGC4771,6566.530729263399,12 53 21.2,+01 16 09
PGC135812,6567.408084782059,12 53 24.2,+01 55 53
NGC4772,6588.344479678491,12 53 29.2,+02 10 06
PGC1199069,6563.924260641165,12 53 39.8,+01 34 29
PGC1263098,6593.721417428203,12 53 40.2,+04 04 32
PGC1264260,6575.576889130938,12 53 43.3,+04 09 14
SDSSJ125355.24+191533.5,6581.320477025758,12 53 55.2,+19 15 34
PGC043864,6575.512186055616,12 54 01.9,-01 30 30
PGC1365234,6592.297257705643,12 54 02.2,+09 26 50
PGC135814,6565.20211348955,12 54 05.1,-00 06 04
DDO154,6603.696078518071,12 54 05.4,+27 09 00
PGC043888,6542.614331142322,12 54 12.6,+00 48 09
PGC1236745,6580.557906372003,12 54 15.9,+02 45 45
UGC08030,6589.491094272989,12 54 29.3,+26 18 16
PGC1191416,6539.968864168661,12 54 37.8,+01 19 33
NGC4793,6578.554910077381,12 54 40.6,+28 56 19
PGC043940,6584.9991241169155,12 54 41.6,+02 06 15
NGC4791,6577.770004782171,12 54 43.9,+08 03 11
UGC08032,6568.298700941036,12 54 44.2,+13 14 14
PGC214037,6608.857830343665,12 54 45.3,+28 55 30
EVCC1234,6601.646462669022,12 54 45.4,+18 08 05
PGC3090638,6613.586347203419,12 54 46.3,+15 35 30
IC3881,6586.406031332088,12 54 48.6,+19 10 38
NGC4809,6583.892882747543,12 54 51.1,+02 39 14
PGC1120414,6573.99437958753,12 54 51.1,-01 21 51
NGC4810,6562.434998380451,12 54 51.2,+02 38 26
[SDV2005]230,6569.652671989055,12 54 52.4,+10 57 43
PGC043987,6568.004351923433,12 54 57.6,+01 58 42
SDSSJ125504.03+074316.9,6598.949517874989,12 55 04.0,+07 43 17
AGC227927,6567.464993304059,12 55 04.3,+08 06 13
PGC093119,6583.076670452946,12 55 04.7,+08 03 59
UGC08042,6589.7829552473195,12 55 10.3,+07 55 05
UGC08041,6558.803777345567,12 55 12.6,+00 07 00
AGC225849,6584.05881201593,12 55 35.1,+10 44 18
PGC158230,6555.138780602492,12 55 37.3,-01 19 48
UGC08048,6557.482941969897,12 55 39.1,-00 15 52
KDG215,6585.214113422591,12 55 40.5,+19 12 33
NGC4808,6565.36043854215,12 55 49.0,+04 18 15
UGC08053,6571.322916103863,12 55 49.2,+04 00 48
AGC227974,6560.203373449313,12 56 03.5,+04 52 01
UGC08055,6547.914687361632,12 56 04.5,+03 48 46
UGC08056,6578.8781320886455,12 56 19.8,+10 11 20
NGC4826,6588.973414190354,12 56 43.7,+21 40 55
UGC08061,6580.938350843981,12 56 43.8,+11 55 54
SDSSJ125651.47+163024.2,6586.160740539115,12 56 51.5,+16 30 24
PGC044211,6589.863052013653,12 56 53.4,+08 09 41
PGC044215,6560.672474249786,12 56 57.1,+04 03 53
SDSSJ125703.47+092258.9,6576.979223202533,12 57 03.5,+09 22 59
AGC227975,6560.416909638134,12 57 18.1,+04 59 29
SDSSJ125736.51+091846.1,6580.463154785203,12 57 36.5,+09 18 46
DDO156,6589.619770163409,12 57 44.6,+02 41 31
NGC4845,6583.530849570856,12 58 01.2,+01 34 33
DDO157,6595.191400270076,12 58 09.0,+14 51 32
UGC08085,6609.844499474083,12 58 17.3,+14 33 25
PGC1427916,6566.84177187026,12 58 20.2,+13 18 48
KK173,6579.005395614978,12 58 36.0,+17 48 47
GR8,6602.616850264889,12 58 40.2,+14 13 03
PGC044517,6620.255136171285,12 58 52.8,+13 09 09
PGC1423207,6597.271336629648,12 58 53.4,+13 06 47
NGC4866,6599.92389716402,12 59 27.1,+14 10 16
PGC1383640,6604.532267724987,12 59 42.0,+10 43 38
PGC1132599,6570.619266616642,12 59 45.1,-00 52 16
SDSSJ125952.41+033758.5,6585.737070721136,12 59 52.4,+03 37 59
PGC044685,6591.130164088229,12 59 58.1,+02 02 58
NGC4880,6580.150376044944,13 00 10.5,+12 29 01
AGC233574,6582.603431921796,13 00 22.1,+12 55 25
UGC08114,6589.120667093648,13 00 25.0,+13 40 13
NGC4900,6582.221920319052,13 00 39.2,+02 30 04
NGC4904,6577.606401365128,13 00 58.6,-00 01 39
AGC232135,6599.426556718305,13 01 53.3,+02 27 38
PGC045019,6576.280600050895,13 02 40.8,+01 04 27
KK177,6598.864968821933,13 02 41.8,+21 59 52
SDSSJ130320.36+175909.7,6627.845860294762,13 03 20.4,+17 59 10
AGC232137,6580.440306409062,13 03 44.2,+02 02 24
KK180,6562.83833252658,13 04 30.2,+17 45 34
SDSSJ130440.05+184438.7,6582.018694655654,13 04 40.1,+18 44 39
AGC230077,6590.2956625065535,13 06 23.2,+10 26 02
KK183,6587.875761411616,13 06 42.5,+18 00 08
AGC230084,6611.837146699727,13 06 56.0,+14 48 27
UGC08276,6592.311317515088,13 12 06.6,+05 28 33
UGC08285,6578.970264935831,13 12 33.3,+07 11 03
UGC08298,6573.834762555477,13 13 19.7,+10 11 39
SDSSJ131347.30+100311.1,6576.1511023032745,13 13 47.3,+10 03 11
UGC08382,6584.801092330334,13 20 32.1,+05 24 29
